P1,1     0      1
P2,1     2      2
P3,1     3      3
P4,1     4      4
P5,1     5      7
P4,1     8      8
P5,1     9      10
P4,1     11      12
P5,2     13      15
P3,1     16      16
P5,2     17      18
P4,1     19      20
P5,3     21      23
P2,1     24      83
P3,1     84      85
P4,2     86      102
P2,1     103      104
P1,1     105      145
P4,2     146      147
P7,1     148      154
P3,2     155      176
P4,3     177      201
P1,1     202      203
P3,2     204      208
P4,3     209      211
P2,2     212      251
P3,2     252      253
P7,1     254      280
P4,4     281      290
P2,2     291      292
P3,3     293      332
P1,2     333      334
P3,3     335      337
P1,2     338      341
P2,3     342      351
P4,4     352      353
P1,2     354      362
P4,5     363      372
P1,2     373      373
P4,5     374      375
P1,2     376      384
P4,6     385      394
P1,2     395      456
P7,1     457      457
P1,2     458      459
P7,1     460      465
P2,4     466      477
P3,4     478      479
P7,1     480      498
P3,5     499      518
P7,1     519      519
P3,5     520      521
P7,1     522      530
P3,6     531      536
P2,4     537      538
P1,3     539      577
P2,5     578      617
P7,1     618      618
P2,5     619      620
P1,3     621      623
P2,6     630      639
P1,4     693      696
P7,1     697      698
P7,2     701      703
P1,4     764      765
P1,5     825      884
P1,5     886      887
P1,6     897      906
