CPU0
P1,1      0      99
P4,1      100      109
P5,1      110      112
P6,1      113      117
P7,1      118      317
P4,2      318      377
P2,3      378      427
P5,3      428      430
P4,3      431      460
P3,3      461      500
P4,4      501      570
P3,4      571      640
P4,5      641      650
P1,5      651      710
P1,6      713      722
CPU1
P2,1      2      81
P3,1      82      151
P2,2      152      231
P1,2      232      321
P5,2      322      324
P3,2      325      394
P7,2      395      397
P1,3      398      477
P2,4      478      547
P1,4      548      617
P2,5      618      657
P3,5      658      677
P4,6      678      687
P2,6      688      697
P3,6      698      707
