CPU0
P1,1      0      14
P5,1      15      29
P1,2      30      34
P5,2      35      39
P11,1      40      44
P5,3      45      49
P11,2      50      51
P5,4      52      56
P8,1      57      62
P5,5      63      67
P9,1      68      75
P5,6      76      80
P12,1      81      95
P5,7      96      100
P12,2      101      115
P5,8      116      120
P12,3      121      135
P1,4      136      140
P5,10      141      145
P7,2      146      160
P5,12      161      165
P7,3      166      180
P5,14      181      185
P7,4      186      200
P5,16      201      205
P7,5      206      220
P5,18      221      225
P7,6      226      240
P5,20      241      245
P7,7      246      260
P5,22      261      265
P7,8      266      280
P1,5      281      295
P12,12      296      310
P7,10      311      325
P1,7      326      340
P12,14      341      355
P1,9      356      370
P7,13      371      385
P1,11      386      400
P12,17      401      415
P3,1      416      430
P1,13      431      445
P12,19      446      460
P1,15      461      475
P3,4      476      490
P1,17      491      495
P3,5      496      510
P12,22      511      525
P1,19      526      530
P12,23      531      545
P4,1      546      595
P3,8      596      610
P10,1      611      710
P3,10      711      725
P4,2      726      825
P3,12      826      840
P4,3      841      850
P3,13      851      865
P6,3      866      1066
P6,4      1069      1083
CPU1
P2,1      2      101
P7,1      102      116
P1,3      117      131
P9,2      132      133
P5,9      134      138
P12,4      139      153
P5,11      154      158
P12,5      159      173
P5,13      174      178
P12,6      179      193
P5,15      194      198
P12,7      199      213
P5,17      214      218
P12,8      219      233
P5,19      234      238
P12,9      239      253
P5,21      254      258
P12,10      259      273
P5,23      274      278
P12,11      279      293
P7,9      294      308
P1,6      309      313
P12,13      314      328
P7,11      329      343
P1,8      344      348
P7,12      349      363
P12,15      364      378
P1,10      379      383
P12,16      384      398
P7,14      399      413
P1,12      414      418
P12,18      419      433
P3,2      434      448
P1,14      449      453
P3,3      454      468
P12,20      469      483
P1,16      484      488
P12,21      489      503
P1,18      504      518
P3,6      519      533
P1,20      534      538
P3,7      539      553
P6,1      554      633
P3,9      634      648
P6,2      649      728
P3,11      729      743
P2,2      744      923
P3,14      924      938
P2,3      939      948
P3,15      949      963
P3,16      966      980
P3,17      983      997
P3,18      1000      1014
