CPU0
P1,1 0 14
P3,1 15 19
P1,2 20 20
P5,1 21 33
P3,2 34 35
P5,2 36 39
P8,1 40 41
P11,1 42 44
P5,3 45 46
P11,2 47 47
P5,4 48 52
P9,1 53 53
P5,5 54 58
P1,3 59 59
P5,6 60 64
P1,3 65 66
P5,7 67 70
P1,4 71 72
P5,8 73 76
P3,3 77 77
P5,9 78 82
P3,3 83 83
P5,10 84 88
P1,5 89 89
P5,11 90 94
P1,5 95 96
P5,12 97 100
P1,6 101 102
P9,2 103 104
P5,13 105 106
P3,4 107 107
P5,14 108 112
P3,4 113 115
P5,15 116 118
P1,7 119 119
P5,16 120 124
P1,7 125 128
P5,17 129 130
P1,8 131 134
P5,18 135 136
P3,5 137 137
P5,19 138 142
P3,5 143 145
P5,20 146 148
P1,9 149 149
P5,21 150 154
P1,9 155 158
P5,22 159 160
P1,10 161 164
P5,23 165 166
P3,6 167 175
P1,11 176 181
P7,1 182 182
P1,12 183 187
P7,1 188 190
P3,7 191 201
P1,13 202 205
P7,2 206 206
P1,14 207 211
P7,2 212 216
P3,8 217 225
P1,15 226 231
P7,3 232 232
P1,16 233 237
P7,3 238 240
P1,17 241 243
P3,9 244 253
P7,4 254 258
P1,18 259 268
P3,10 269 273
P1,19 274 274
P7,5 275 275
P1,20 276 280
P7,5 281 287
P3,11 288 294
P12,1 295 302
P7,6 303 309
P3,12 310 317
P12,2 318 324
P7,7 325 332
P3,13 333 339
P12,3 340 347
P7,8 348 354
P3,14 355 362
P12,4 363 369
P7,9 370 377
P3,15 378 384
P12,5 385 392
P7,10 393 399
P3,16 400 407
P12,6 408 414
P7,11 415 422
P3,17 423 429
P12,7 430 437
P7,12 438 444
P3,18 445 452
P12,8 453 459
P7,13 460 467
P12,9 468 475
P7,14 476 483
P12,10 484 491
P4,1 492 492
P12,11 493 507
P4,1 508 508
P12,12 509 523
P4,1 524 530
P12,13 531 539
P6,1 540 540
P12,14 541 555
P6,1 556 556
P12,15 557 571
P6,1 572 572
P12,16 573 587
P6,1 588 588
P12,17 589 603
P6,1 604 607
P12,18 608 619
P6,2 620 620
P12,19 621 635
P6,2 636 636
P12,20 637 651
P6,2 652 652
P12,21 653 667
P6,2 668 668
P12,22 669 683
P6,2 684 688
P12,23 689 699
P2,1 700 774
P4,2 775 799
P10,1 800 800
P4,3 801 810
P10,1 811 874
P2,2 875 989
P6,3 990 990
P2,3 991 1000
P6,3 1001 1075
P6,4 1077 1091
CPU1
P2,1 2 4
P3,1 5 14
P5,1 15 15
P1,2 16 19
P5,1 20 20
P3,2 21 33
P1,3 34 34
P5,2 35 35
P8,1 36 39
P11,1 40 41
P5,3 42 44
P9,1 45 45
P11,2 46 46
P9,1 47 52
P1,3 53 58
P3,3 59 59
P1,3 60 64
P3,3 65 65
P5,7 66 66
P3,3 67 67
P1,4 68 70
P3,3 71 71
P5,8 72 72
P3,3 73 76
P1,5 77 77
P3,3 78 82
P1,5 83 88
P3,4 89 89
P1,5 90 94
P3,4 95 95
P5,12 96 96
P3,4 97 97
P1,6 98 100
P3,4 101 101
P5,13 102 104
P3,4 105 106
P1,7 107 107
P3,4 108 112
P1,7 113 113
P5,15 114 115
P1,7 116 118
P3,5 119 119
P1,7 120 124
P3,5 125 125
P5,17 126 128
P3,5 129 129
P1,8 130 130
P3,5 131 131
P5,18 132 134
P3,5 135 136
P1,9 137 137
P3,5 138 142
P1,9 143 143
P5,20 144 145
P1,9 146 148
P3,6 149 149
P1,9 150 154
P3,6 155 155
P5,22 156 158
P3,6 159 159
P1,10 160 160
P3,6 161 161
P5,23 162 164
P3,6 165 166
P1,11 167 175
P7,1 176 181
P3,7 182 182
P7,1 183 187
P3,7 188 190
P1,13 191 201
P7,2 202 205
P3,8 206 206
P7,2 207 211
P3,8 212 216
P1,15 217 225
P7,3 226 231
P3,9 232 232
P7,3 233 237
P3,9 238 238
P1,17 239 240
P3,9 241 243
P7,4 244 253
P1,18 254 258
P3,10 259 268
P7,5 269 269
P1,19 270 273
P7,5 274 274
P3,11 275 275
P7,5 276 280
P3,11 281 287
P12,1 288 294
P7,6 295 302
P3,12 303 309
P12,2 310 317
P7,7 318 324
P3,13 325 332
P12,3 333 339
P7,8 340 347
P3,14 348 354
P12,4 355 362
P7,9 363 369
P3,15 370 377
P12,5 378 384
P7,10 385 392
P3,16 393 399
P12,6 400 407
P7,11 408 414
P3,17 415 422
P12,7 423 429
P7,12 430 437
P3,18 438 444
P12,8 445 452
P7,13 453 459
P4,1 460 460
P12,9 461 467
P4,1 468 468
P7,14 469 475
P4,1 476 476
P12,10 477 483
P4,1 484 491
P6,1 492 492
P4,1 493 507
P6,1 508 508
P4,1 509 523
P6,1 524 524
P12,13 525 530
P6,1 531 539
P2,1 540 540
P6,1 541 555
P2,1 556 556
P6,1 557 571
P2,1 572 572
P6,1 573 587
P2,1 588 588
P6,1 589 603
P2,1 604 604
P12,18 605 607
P2,1 608 608
P6,2 609 619
P2,1 620 620
P6,2 621 635
P2,1 636 636
P6,2 637 651
P2,1 652 652
P6,2 653 667
P2,1 668 668
P6,2 669 683
P2,1 684 684
P12,23 685 688
P2,1 689 699
P4,2 700 774
P10,1 775 799
P2,2 800 800
P10,1 801 810
P2,2 811 874
P6,3 875 989
P6,3 991 1000
